Name,Lifetime,Nationality,Notable as,Orientation,Sex,Era,Name.old
 Parks David,1943,American,Politician,G,M,AD,"Parks, DavidDavid Parks"
 Parnok Sophia Yakovlevna,1885-1933,Russian,Poet,L,F,AD,"Parnok, Sophia YakovlevnaSophia Yakovlevna Parnok"
 Parr Lily,1905-1978,English,Footballer,L,F,AD,"Parr, LilyLily Parr"
 Parris Matthew,1949,English,"Journalist, former Member of Parliament",G,M,AD,"Parris, MatthewMatthew Parris"
 Parry Evalyn,,Canadian,"Musician, actor, playwright",L,F,AD,"Parry, EvalynEvalyn Parry"
 Parsi Arsham,1980,Iranian,LGBT rights activist,G,M,AD,"Parsi, ArshamArsham Parsi"
 Parsons Jim,1973,American,Actor,G,M,AD,"Parsons, JimJim Parsons"
 Partch Harry,1901-1974,American,"Composer, instrument builder",G,M,AD,"Partch, HarryHarry Partch"
 Partridge John,1971,English,Actor,G,M,AD,"Partridge, JohnJohn Partridge"
 Partridge Nick,,English,"Businessperson, AIDS activist",G,M,AD,"Partridge, NickNick Partridge"
 Pasatieri Thomas,1945,American,Composer,G,M,AD,"Pasatieri, ThomasThomas Pasatieri"
 Paolo Pasolini Pier,1922-1975,Italian,"Writer, filmmaker",G,M,AD,"Paolo Pasolini, PierPier Paolo Pasolini"
 Passon Stacie,,American,"Film director, screenwriter",L,F,AD,"Passon, StacieStacie Passon"
 Pater Walter,1839-1894,English,"Writer, literary critic",G,M,AD,"Pater, WalterWalter Pater"
 Paton Tam,1937,Scottish,Businessperson,G,M,AD,"Paton, TamTam Paton"
 Patrick Paul,1950,English,"Teacher, LGBT rights activist",G,M,AD,"Patrick, PaulPaul Patrick"
 Patrick Robert,1937,American,Playwright,G,M,AD,"Patrick, RobertRobert Patrick"
 Patterson Pat,1941,Canadian,Wrestler,G,M,AD,"Patterson, PatPat Patterson"
 Patterson Romaine,1977,American,"Radio personality, LGBT rights activist",L,F,AD,"Patterson, RomaineRomaine Patterson"
 Pattinson Derek,1930-2006,English,"Civil servant, clergy",G,M,AD,"Pattinson, DerekDerek Pattinson"
 Patton Brad,1972,Swedish-Australian,"Pornographic actor, figure skater",G,M,AD,"Patton, BradBrad Patton"
 Paul Oscar,1970,Icelander,"Singer-songwriter, disc jockey",G,M,AD,Paul Oscar
 Paulson Sarah,1974,American,Actor,L,F,AD,"Paulson, SarahSarah Paulson"
 Paumen Maartje,1985,Dutch,Field hockey player,L,F,AD,"Paumen, MaartjeMaartje Paumen"
 Payn Graham,1918-2005,English,"Actor, partner of Noël Coward",G,M,AD,"Payn, GrahamGraham Payn"
 Payne Waylon,1972,American,Musician,G,M,AD,"Payne, WaylonWaylon Payne"
 Peace Heather,1976,English,"Actor, musician",L,F,AD,"Peace, HeatherHeather Peace"
 Peaches,1968,Canadian,Musician,B,M,AD,Peaches
 Peake Sarah,,American,Politician,L,F,AD,"Peake, SarahSarah Peake"
 Pearce Douglas,1956,English,Musician,G,M,AD,"Pearce, DouglasDouglas Pearce"
 Pears Peter,1910-1986,English,"Opera singer, partner of Benjamin Britten",G,M,AD,"Pears, PeterPeter Pears"
 Pearson Lee,1974,British,Paralympian,G,M,AD,"Pearson, LeeLee Pearson"
 Peck Dale,1967,American,Writer,G,M,AD,"Peck, DaleDale Peck"
 Pedersen Jamie,1968,American,Politician,G,M,AD,"Pedersen, JamieJamie Pedersen"
 Pell Paula,1963,American,"Screenwriter, actress",G,M,AD,"Pell, PaulaPaula Pell"
 Peltzer Otto,1900-1970,German,World record holder in running,G,M,AD,"Peltzer, OttoOtto Peltzer"
 Penczak Christopher,1973,American,Writer,G,M,AD,"Penczak, ChristopherChristopher Penczak"
 Penna Sandro,1906-1977,Italian,Writer,G,M,AD,"Penna, SandroSandro Penna"
 Pennette Marco,1960,American,Screenwriter,G,M,AD,"Pennette, MarcoMarco Pennette"
 William Armstrong Percy I,1933,American,"Writer, historian",G,M,AD,"Percy 3, William Armstrong !William Armstrong Percy III"
 Percy William Alexander,1885-1942,American,Writer,G,M,AD,"Percy, William AlexanderWilliam Alexander Percy"
 Peres Da Costa Neal,1964,Australian,Musician,G,M,AD,"Peres Da Costa, NealNeal Peres Da Costa"
 Perez Charles,1964,American,"Reporter, news presenter",G,M,AD,"Perez, CharlesCharles Perez"
 Perez John,1969,American,Politician,G,M,AD,"Perez, JohnJohn Pérez"
 Perkins Anthony,1932-1992,American,Actor,B,M,AD,"Perkins, AnthonyAnthony Perkins"
 Perkins Sue,1969,English,Comedian,L,F,AD,"Perkins, SueSue Perkins"
 Peron Dennis,1945,American,"LGBT rights activist, Politician",G,M,AD,"Peron, DennisDennis Peron"
 Perronne Michael Holloway,1974,American,Writer,G,M,AD,"Perronne, Michael HollowayMichael Holloway Perronne"
 Perry Linda,1965,American,Musician,L,F,AD,"Perry, LindaLinda Perry"
 Perry Troy D,1940,American,Clergy,G,M,AD,"Perry, Troy D.Troy D. Perry"
 Persky Stan,1941,Canadian,Writer,G,M,AD,"Persky, StanStan Persky"
 Peru Coco,,American,Comedian,G,M,AD,"Peru, CocoCoco Peru"
 Peters Julie Anne,1952,American,Writer,L,F,AD,"Peters, Julie AnneJulie Anne Peters"
 Peters Robert,1924,American,"Poet, teacher",G,M,AD,"Peters, RobertRobert Peters"
 Peyrefitte Roger,1907-2000,French,"Writer, diplomat",G,M,AD,"Peyrefitte, RogerRoger Peyrefitte"
 Phair Michael,1950,Canadian,Politician,G,M,AD,"Phair, MichaelMichael Phair"
 Phelps Kerryn,1957,Australian,Physician,L,F,AD,"Phelps, KerrynKerryn Phelps"
 Prince Philipp of Hesse,1896-1980,German,Nazi governor,B,M,AD,Philipp of Hesse !Prince Philipp of Hesse
 Philippe I Duke of Orleans,1640-1701,French,Duke,G,M,AD,"Philippe 1 !Philippe I, Duke of Orléans"
 Phillips Carl,1959,American,Writer,G,M,AD,"Phillips, CarlCarl Phillips"
 Phillips Gretchen,1963,American,Musician,L,F,AD,"Phillips, GretchenGretchen Phillips"
 Phillips Joe,1969,American,Comic artist,G,M,AD,"Phillips, JoeJoe Phillips"
 Phillips Paul,,American,Musician,G,M,AD,"Phillips, PaulPaul Phillips"
 Phillips Randy,1990,American,"LGBT rights activist, military",G,M,AD,"Phillips, RandyRandy Phillips"
 Phinot Dominique,1510-,Franco-Flemish,Composer,G,M,AD,"Phinot, DominiqueDominique Phinot"
 Phoenix Dean,1974,Mexican,Pornographic actor,G,M,AD,"Phoenix, DeanDean Phoenix"
 Phranc,1957,American,Musician,L,F,AD,Phranc
 Pichler David,1968,American,Olympic diver,G,M,AD,"Pichler, DavidDavid Pichler"
 Piepzna Samarasinha Leah Lakshmi,1975,Canadian,"Poet, educator",L,F,AD,"Piepzna-Samarasinha, Leah LakshmiLeah Lakshmi Piepzna-Samarasinha"
 Pierce David Hyde,1959,American,Actor,G,M,AD,"Pierce, David HydeDavid Hyde Pierce"
 Pierson Jack,1960,American,Artist,G,M,AD,"Pierson, JackJack Pierson"
 Pierson Kate,1948,American,Musician,B,F,AD,"Pierson, KateKate Pierson"
 Pillard Richard,1933,American,Professor,G,M,AD,"Pillard, RichardRichard Pillard"
 Pinera Virgilio Piaa,1912-1979,Cuban,"Author, playwright",G,M,AD,"Pinera, VirgilioVirgilio Piñera"
 Pinero Miguel Piao,1946-1988,Puerto Rican,"Playwright, actor",G,M,AD,"Pinero, MiguelMiguel Piñero"
 Ping Nimrod,1947-2006,English,"Architect, politician",G,M,AD,"Ping, NimrodNimrod Ping"
 Pinkham Daniel,1923-2006,American,"Composer, musician",G,M,AD,"Pinkham, DanielDaniel Pinkham"
 Pinnick Doug,1950,American,Musician,G,M,AD,"Pinnick, DougDoug Pinnick"
 Pintauro Danny,1976,American,Actor,G,M,AD,"Pintauro, DannyDanny Pintauro"
 Pitter Aslie,,English,Footballer,G,M,AD,"Pitter, AslieAslie Pitter"
 Plant Richard,1910-1998,German,Writer,G,M,AD,"Plant, RichardRichard Plant"
 Plotnick Jack,1968,American,Actor,G,M,AD,"Plotnick, JackJack Plotnick"
 Plahow Guglielmo,1852-1930,German,Artist,G,M,AD,"Plüschow, GuglielmoGuglielmo Plüschow"
 Pocan Mark,1964,American,Politician,G,M,AD,"Pocan, MarkMark Pocan"
 Pockar Brian,1959-1992,Canadian,Figure skater,G,M,AD,"Pockar, BrianBrian Pockar"
 Podeswa Jeremy,1962,Canadian,Film and television director,G,M,AD,"Podeswa, JeremyJeremy Podeswa"
 Polis Jared,1975,American,Politician,G,M,AD,"Polis, JaredJared Polis"
 Polk Patrik Ian,1973,American,"Television director, producer",G,M,AD,"Polk, Patrik-IanPatrik-Ian Polk"
 Pollack James B,1938-1994,American,Astrophysicist,G,M,AD,"Pollack, James B.James B. Pollack"
 Pombo aaroaaro,1939,Spanish,Writer,G,M,AD,"Pombo, ÁlvaroÁlvaro Pombo"
 Pope Carole,1950,Canadian,Musician,L,F,AD,"Pope, CaroleCarole Pope"
 Portas Mary,1962,English,Fashion designer,L,F,AD,"Portas, MaryMary Portas"
 Porter Cole,1891-1964,American,Composer,G,M,AD,"Porter, ColeCole Porter"
 Porter Dorothy,1954-2008,Australian,Poet,L,F,AD,"Porter, DorothyDorothy Porter"
 Posen Zac,1980,American,Fashion designer,G,M,AD,"Posen, ZacZac Posen"
 Post Sue Ann,1964,Australian,"Comedian, writer",L,F,AD,"Post, Sue-AnnSue-Ann Post"
 Potts Wallace,1947-2006,American,"Film director, screenwriter, archivist",G,M,AD,"Potts, WallaceWallace Potts"
 Poul Alan,1954,American,"Film and television producer, director",G,M,AD,"Poul, AlanAlan Poul"
 Poulenc Francis,1899-1963,French,Composer,B,M,AD,"Poulenc, FrancisFrancis Poulenc"
 Powter Susan,1957,Australian,"Author, fitness guru",L,F,AD,"Powter, SusanSusan Powter"
 Prather Miranda,,American,"Student, hoax perpetrator",L,F,AD,"Prather, MirandaMiranda Prather"
 Pratt Louise,1972,Australian,Politician,L,F,AD,"Pratt, LouiseLouise Pratt"
 Pratt Minnie Bruce,1946,American,"Writer, poet",L,F,AD,"Pratt, Minnie BruceMinnie Bruce Pratt"
 Prentice Keith,1940-1992,American,Actor,G,M,AD,"Prentice, KeithKeith Prentice"
 Preston John,1945-1994,American,"Writer, LGBT rights activist",G,M,AD,"Preston, JohnJohn Preston"
 Price Adam,1968,Welsh,Politician,G,M,AD,"Price, AdamAdam Price"
 Price Christopher,1967-2002,English,Broadcaster,G,M,AD,"Price, ChristopherChristopher Price"
 Price Dennis,1915-1973,English,Actor,G,M,AD,"Price, DennisDennis Price"
 Price Gordon,,Canadian,Politician,G,M,AD,"Price, GordonGordon Price"
 Price Mark de Solla,1960,American,"Writer, AIDS activist",G,M,AD,"Price, Mark de SollaMark de Solla Price"
 Pries Lionel,1897-1968,American,"Architect, artist, professor",G,M,AD,"Pries, LionelLionel Pries"
 Prijdekker Peter,1948,Dutch,Swimmer,G,M,AD,"Prijdekker, PeterPeter Prijdekker"
 Prinzzess,1985,American,Porn Star,B,F,AD,Prinzzess
 Proulx Shaun,1968,Canadian,Writer,G,M,AD,"Proulx, ShaunShaun Proulx"
 Proust Marcel,1871-1922,French,Writer,B,M,AD,"Proust, MarcelMarcel Proust"
 Prufrock Animal,1975,American,Rock musician,L,F,AD,"Prufrock, AnimalAnimal Prufrock"
 Pugh Charles,1971,American,"Journalist, politician",G,M,AD,"Pugh, CharlesCharles Pugh"
 Puig Manuel,1932-1990,Argentinian,Writer,G,M,AD,"Puig, ManuelManuel Puig"
 Pureka Chris,,American,Singer-songwriter,G,M,AD,"Pureka, ChrisChris Pureka"
 Py Olivier,1965,French,"Director, actor, writer",G,M,AD,"Py, OlivierOlivier Py"
 Qiao,1979,Chinese,Musician,L,F,AD,"Qiao, QiaoQiao Qiao"
 Quan Andy,1969,Canadian,Writer,G,M,AD,"Quan, AndyAndy Quan"
 Queen Carol,1957,American,Writer,B,F,AD,"Queen, CarolCarol Queen"
 Quilter Roger,1877-1953,English,Composer,G,M,AD,"Quilter, RogerRoger Quilter"
 Quin Sara,1980,Canadian,Musician (Tegan and Sara),L,F,AD,"Quin, SaraSara Quin"
 Quin Tegan,1980,Canadian,Musician (Tegan and Sara),L,F,AD,"Quin, TeganTegan Quin"
 Quinn Christine C,1966,American,Politician,L,F,AD,"Quinn, Christine C.Christine C. Quinn"
 Quinn Patrick,1950-2006,American,Actor,G,M,AD,"Quinn, PatrickPatrick Quinn"
 Quintero Jose,1924-1999,Panamanian,Theatre director,G,M,AD,"Quintero, JoséJosé Quintero"
 Quinto Zachary,1977,American,Actor,G,M,AD,"Quinto, ZacharyZachary Quinto"
 Raben Peer,1940-2007,German,Composer,G,M,AD,"Raben, PeerPeer Raben"
 Racette Patricia,1965,American,Opera singer,L,F,AD,"Racette, PatriciaPatricia Racette"
 Radclyffe,1950,American,Writer,L,F,AD,Radclyffe
 Radford Eric,1985,Canadian,Figure skater,G,M,AD,"Radford, EricEric Radford"
 Radszuweit Friedrich,1876-1932,German,"Publisher, writer",G,M,AD,"Radszuweit, FriedrichFriedrich Radszuweit"
 Radu cel Frumos,1437-1475,Romanian,Ruler of Wallachia,G,M,AD,Radu cel Frumos
 Rae Jason,1986,American,Student,G,M,AD,"Rae, JasonJason Rae"
 Rae Kyle,1954,Canadian,Politician,G,M,AD,"Rae, KyleKyle Rae"
 Raimondo Justin,1951,American,Writer,G,M,AD,"Raimondo, JustinJustin Raimondo"
 Rainey Ma,1882-1939,American,Blues musician,B,F,AD,"Rainey, MaMa Rainey"
 Rains Traver,1977,American,Fashion designer,B,M,AD,"Rains, TraverTraver Rains"
 Rakoff David,1964-2012,American,"Writer, actor",G,M,AD,"Rakoff, DavidDavid Rakoff"
 Rambo Dack,1941-1994,American,Actor,B,M,AD,"Rambo, DackDack Rambo"
 Ramos Otero Manuel,1948-1990,Puerto Rican,Writer,G,M,AD,"Ramos Otero, ManuelManuel Ramos Otero"
 Ramsay Benny Nemerofsky,1973,Canadian,Artist,G,M,AD,"Ramsay, Benny NemerofskyBenny Nemerofsky Ramsay"
 Randi James,1928,Canadian American,Magician and Scientific Skeptic,G,M,AD,"Randi, JamesJames Randi"
 Randle Vicki,1954,American,Pop/jazz musician,L,F,AD,"Randle, VickiVicki Randle"
 Rankin Jessica,1971,Australian,Artist,L,F,AD,"Rankin, JessicaJessica Rankin"
 Rannells Andrew,1978,American,Actor,G,M,AD,"Rannells, AndrewAndrew Rannells"
 Rantel Al,1955,American,Talk show host,G,M,AD,"Rantel, AlAl Rantel"
 Rapinoe Megan,1985,American,Soccer Player,L,F,AD,"Rapinoe, MeganMegan Rapinoe"
 Rapp Anthony,1971,American,Actor,B,M,AD,"Rapp, AnthonyAnthony Rapp"
 Rashid Ian Iqbal,1965,Canadian/British,"Poet, screenwiter, filmmaker",G,M,AD,"Rashid, Ian IqbalIan Iqbal Rashid"
 Rattigan Terence,1911-1977,English,Playwright,G,M,AD,"Rattigan, TerenceTerence Rattigan"
 Rauch Jonathan,1960,American,Writer,G,M,AD,"Rauch, JonathanJonathan Rauch"
 Rauschenberg Robert,1925,American,Artist,G,M,AD,"Rauschenberg, RobertRobert Rauschenberg"
 Rauset aindaind,1971,Norwegian,"Rock musician, artist",G,M,AD,"Rauset, ØyvindØyvind Rauset"
 Raven Arlene,1944-2006,American,"Art historian, writer",L,F,AD,"Raven, ArleneArlene Raven"
 Ray Amy,1964,American,Rock musician,L,F,AD,"Ray, AmyAmy Ray"
 Ray Johnnie,1927-1990,American,Pop musician,G,M,AD,"Ray, JohnnieJohnnie Ray"
 Ray Nicholas,1911-1979,American,Film director,B,M,AD,"Ray, NicholasNicholas Ray"
 Raymond Gene,1908-1998,American,Actor,B,M,AD,"Raymond, GeneGene Raymond"
 Raymond Lisa,1973,American,Tennis player,L,F,AD,"Raymond, LisaLisa Raymond"
 Raymund Monica,1986,American,Actress,B,F,AD,"Raymund, MonicaMonica Raymund"
 Reagon Toshi,1964,American,Folk-rock musician,L,F,AD,"Reagon, ToshiToshi Reagon"
 Rebane Peeter,1973,Estonian,"Film producer, director, entrepreneur",G,M,AD,"Rebane, PeeterPeeter Rebane"
 Rechy John,1934,American,Writer,G,M,AD,"Rechy, JohnJohn Rechy"
 Reddick Jeffrey,,American,Screenwriter,G,M,AD,"Reddick, JeffreyJeffrey Reddick"
 Redgrave Michael,1908-1985,English,Actor,B,M,AD,"Redgrave, MichaelMichael Redgrave"
 Redl Alfred,1864-1913,Austrian,"Military officer, spy",G,M,AD,"Redl, AlfredAlfred Redl"
 Redner Joe,1940,American,Strip club owner,G,M,AD,"Redner, JoeJoe Redner"
 Reed Caitriona,1949,American,Zen sensei,B,F,AD,"Reed, CaitrionaCaitriona Reed"
 Reed Lou,1942-2013,American,"Musician, songwriter",B,M,AD,"Reed, LouLou Reed"
 Reed Phil,1949-2008,American,Politician,G,M,AD,"Reed, PhilPhil Reed"
 Reed Robert,1932-1992,American,Actor,G,M,AD,"Reed, RobertRobert Reed"
 Reeves Kenneth,1951,American,Mayor,G,M,AD,"Reeves, KennethKenneth Reeves"
 Reich Charles A,1928,American,"Writer, activist, legal scholar",G,M,AD,"Reich, Charles A.Charles A. Reich"
 Reid Forrest,1875-1948,Irish,Writer,G,M,AD,"Reid, ForrestForrest Reid"
 Reilly Charles Nelson,1931-2007,American,Actor,G,M,AD,"Reilly, Charles NelsonCharles Nelson Reilly"
 Reiser Rio,1950-1996,German,Rock musician,G,M,AD,"Reiser, RioRio Reiser"
 Reitan Jacob,1982,American,LGBT rights activist,G,M,AD,"Reitan, JacobJacob Reitan"
 Reitz Jennifer Diane,1959,American,"Computer programmer, cartoonist, gender rights advocate",B,F,AD,"Reitz, Jennifer DianeJennifer Diane Reitz"
 Renault Mary,1905-1983,English,Writer,L,F,AD,"Renault, MaryMary Renault"
 Retief Glen,,South African,Writer,G,M,AD,"Retief, GlenGlen Retief"
 Reve Gerard,1923-2006,Dutch,Writer,G,M,AD,"Reve, GerardGerard Reve"
 Rhea Lady,,American,Writer,L,F,AD,"Rhea, LadyLady Rhea"
 Ricci Jason,1974,American,Blues musician,G,M,AD,"Ricci, JasonJason Ricci"
 Rice Christopher,1978,American,Writer,G,M,AD,"Rice, ChristopherChristopher Rice"
 Rice Dylan,1976,American,Singer-songwriter,G,M,AD,"Rice, DylanDylan Rice"
 Rice Santino,1974,American,Fashion designer,G,M,AD,"Rice, SantinoSantino Rice"
 Rich Adrienne,1929,American,Poet,L,F,AD,"Rich, AdrienneAdrienne Rich"
 Richard Maurice,1955,Canadian,Politician,G,M,AD,"Richard, MauriceMaurice Richard"
 Richardson Bill,1955,Canadian,"Writer, radio personality",G,M,AD,"Richardson, BillBill Richardson"
 Richardson Kieron,1986,British,Actor,G,M,AD,"Richardson, KieronKieron Richardson"
 Richardson Tony,1928-1991,English,Film director,B,M,AD,"Richardson, TonyTony Richardson"
 Richter Sviatoslav,1915-1997,Russian,Classical musician,G,M,AD,"Richter, SviatoslavSviatoslav Richter"
 Ricketts Charles,1866-1931,English,"Artist, writer",G,M,AD,"Ricketts, CharlesCharles Ricketts"
 Ride Sally,1951-2012,American,"Astronaut, first American woman in space, first openly LGBT astronaut",L,F,AD,"Ride, SallySally Ride"
 Ridgway Keith,1965,Irish,Author,G,M,AD,"Ridgway, KeithKeith Ridgway"
 Riggs Marlon,1957-1994,American,Filmmaker,G,M,AD,"Riggs, MarlonMarlon Riggs"
 Rimbaud Arthur,1854-1891,French,Poet,G,M,AD,"Rimbaud, ArthurArthur Rimbaud"
 Ringdal Nils Johan,1952-2008,Norwegian,"Writer, historian",G,M,AD,"Ringdal, Nils JohanNils Johan Ringdal"
 Rinkavias Edgars,1973,Latvian,"Politician, official",G,M,AD,"Rinkēvičs, EdgarsEdgars Rinkēvičs"
 Rio Joado,1881-1921,Brazilian,Writer,G,M,AD,"Rio, João doJoão do Rio"
 Rios Emily,1989,American,Actress,L,F,AD,"Rios, EmilyEmily Rios"
 Ritts Herb,1952-2002,American,Photographer,G,M,AD,"Ritts, HerbHerb Ritts"
 Robbins Jerome,1918-1998,American,Choreographer,G,M,AD,"Robbins, JeromeJerome Robbins"
 Roberts Danny,1977,American,"Actor, LGBT rights activist",G,M,AD,"Roberts, DannyDanny Roberts"
 Roberts Ian,1965,Australian,Rugby League Footballer,G,M,AD,"Roberts, IanIan Roberts"
 Roberts Thomas,1972,American,News anchor,G,M,AD,"Roberts, ThomasThomas Roberts"
 Robertson Grant,1971,New Zealand,Politician,G,M,AD,"Robertson, GrantGrant Robertson"
 Robertson Ronald,1937-2000,American,Figure skater,G,M,AD,"Robertson, RonaldRonald Robertson"
 Robinson Angela,1971,American,Filmmaker,L,F,AD,"Robinson, AngelaAngela Robinson"
 Robinson Frank M,1926,American,Writer,G,M,AD,"Robinson, Frank M.Frank M. Robinson"
 Robinson Gene,1947,American,Bishop,G,M,AD,"Robinson, GeneGene Robinson"
 Robinson Svend,1952,Canadian,Politician,G,M,AD,"Robinson, SvendSvend Robinson"
 Robinson Tom,1950,English,"Rock musician, DJ",B,M,AD,"Robinson, TomTom Robinson"
 Rocca Mo,1969,American,"Writer, comedian",G,M,AD,"Rocca, MoMo Rocca"
 Rochemont H A Sinclair de,1901-1942,Dutch,Nazi collaborator,G,M,AD,"Rochemont, H. A. Sinclair deH. A. Sinclair de Rochemont"
 Rodi Robert,1956,American,Writer,G,M,AD,"Rodi, RobertRobert Rodi"
 Rodriguez Jai,1979,American,"Reality show host, actor, cabaret musician",G,M,AD,"Rodriguez, JaiJai Rodriguez"
 Rodriguez Michelle,1978,American,"Actress, screenwriter, DJ",B,F,AD,"Rodriguez, MichelleMichelle Rodriguez"
 Rodriguez Richard,1944,American,Writer,G,M,AD,"Rodriguez, RichardRichard Rodriguez"
 Rodwell Craig,1940-1993,American,"Gay rights activist, organizer & writer.",G,M,AD,"Rodwell, CraigCraig Rodwell"
 Roecker John,1966,American,Filmmaker,G,M,AD,"Roecker, JohnJohn Roecker"
 Roellig Ruth Margarete,1878-1969,German,Writer,L,F,AD,"Roellig, Ruth MargareteRuth Margarete Roellig"
 Rofes Eric,1954-2006,American,Writer,G,M,AD,"Rofes, EricEric Rofes"
 Roffman Howard,1955,American,"Photographer, lawyer",G,M,AD,"Roffman, HowardHoward Roffman"
 Rogers Alan G,1967-2008,American,"Soldier, LGBT rights activist",G,M,AD,"Rogers, Alan G.Alan G. Rogers"
 Rogers Gerry,1964,Canadian,"Filmmaker, politician",L,F,AD,"Rogers, GerryGerry Rogers"
 Rogers Robbie,1987,American,Professional soccer player,G,M,AD,"Rogers, RobbieRobbie Rogers"
 Rohm Ernst,1887-1934,German,Military officer,G,M,AD,"Röhm, ErnstErnst Röhm"
 Rolfe Frederick,1860-1913,English,Writer,G,M,AD,"Rolfe, FrederickFrederick Rolfe"
 Romanovsky Ron,,American,Musician,G,M,AD,"Romanovsky, RonRon Romanovsky"
 Romero Anthony,1965,American,Executive Director of the ACLU,G,M,AD,"Romero, AnthonyAnthony Romero"
 Romero Cesar,1907-1994,American,Actor,G,M,AD,"Romero, CesarCesar Romero"
 Romero Gabriel,,Mexican,Actor,G,M,AD,"Romero, GabrielGabriel Romero"
 Rondeau Jim,1959,Canadian,Politician,G,M,AD,"Rondeau, JimJim Rondeau"
 Ronson Samantha,1977,British,DJ,B,F,AD,"Ronson, SamanthaSamantha Ronson"
 Roos Don,1959,American,Filmmaker,G,M,AD,"Roos, DonDon Roos"
 Roper Esther,1868-1938,English,Suffragist,L,F,AD,"Roper, EstherEsther Roper"
 Rorem Ned,1923,American,"Contemporary classical composer, diarist",G,M,AD,"Rorem, NedNed Rorem"
 Roscoe Will,1964,American,Writer,G,M,AD,"Roscoe, WillWill Roscoe"
 Rose Felipe,1954,American,Pop musician,G,M,AD,"Rose, FelipeFelipe Rose"
 Rose George,1920-1988,English,Tony Award winning actor,G,M,AD,"Rose, GeorgeGeorge Rose"
 Rosen Hilary,1958,American,"Recording industry leader, TV commentator",L,F,AD,"Rosen, HilaryHilary Rosen"
 Rosenberg Mark Brennan,�,American,"Author, comedian",G,M,AD,"Rosenberg, Mark BrennanMark Brennan Rosenberg"
 Rosendahl Bill,1945,American,Politician,G,M,AD,"Rosendahl, BillBill Rosendahl"
 Rosenfels Paul,1909-1985,American,Social scientist,G,M,AD,"Rosenfels, PaulPaul Rosenfels"
 Rosenthal Paul,,American,Politician,G,M,AD,"Rosenthal, PaulPaul Rosenthal"
 Ross Grace,1961,American,Politician,L,F,AD,"Ross, GraceGrace Ross"
 Ross Robbie,1869-1918,Canadian,"Journalist, art critic",G,M,AD,"Ross, RobbieRobbie Ross"
 Ross Sinclair,1908-1996,Canadian,"Banker, writer",G,M,AD,"Ross, SinclairSinclair Ross"
