"Name","Lifetime","Nationality","Notable.as","Orientation","Sex","Era","Name.old","Partners","Link"
" Ruth Badger","1978","British","Reality show contestant, television presenter, business consultant","L","F","AD","Ruth Badger","0","https://en.wikipedia.org/wiki/Ruth_Badger"
" Joan Baez","1941","American","Folk musician","B","F","AD","Joan Baez","0","https://en.wikipedia.org/wiki/Joan_Baez"
" Bai Ling","1966","American","Actress","B","F","AD","Bai Ling","0","https://en.wikipedia.org/wiki/Bai_Ling"
" Paul Bailey","1937","British","Writer","G","M","AD","Paul Bailey","0","https://en.wikipedia.org/wiki/Paul_Bailey"
" Sheryl Bailey","1966","American","Jazz musician","L","F","AD","Sheryl Bailey","0","https://en.wikipedia.org/wiki/Sheryl_Bailey"
" Simon Bailey","1955-1995","British","Anglican priest","G","M","AD","Simon Bailey","0","https://en.wikipedia.org/wiki/Simon_Bailey"
" Jon Robin Baitz","1961","American","Playwright, television producer","G","M","AD","Jon Robin Baitz","Joe Mantello (1990ñ2002)","https://en.wikipedia.org/wiki/Jon_Robin_Baitz"
" Jack Baker","1942","American","Attorney, LGBT rights activist","G","M","AD","Jack Baker","0","https://en.wikipedia.org/wiki/Jack_Baker"
" James Robert Baker","1946-1997","American","Author","G","M","AD","James Robert Baker","0","https://en.wikipedia.org/wiki/James_Robert_Baker"
" Josephine Baker","1906-1975","American","Entertainer","B","F","AD","Josephine Baker","William Wells (m.†1919ñ20)
William Baker (m.†1921ñ25)
Jean Lion (m.†1937ñ38)
Jo Bouillon (m.†1947ñ61)","https://en.wikipedia.org/wiki/Josephine_Baker"
" John Roman Baker","1944","British","Playwright","G","M","AD","John Roman Baker","0","https://en.wikipedia.org/wiki/John_Roman_Baker"
" Marina Baker","1967","British","Writer, politician","B","F","AD","Marina Baker","0","https://en.wikipedia.org/wiki/Marina_Baker"
